SI.NO,PART NO,SKU Number,PART NAME,QUANTITY,LOCATION,CATEGORY CODE,SUB CATEGORY DIGIT,Item Number,Unique Serial,Description /Specifications,Storage Details,Product Dimensions (for shipping),Product Weight (GRAMS),Minimum Stock Level,Images / Links,User,Date ,Comments,Product Family,
129,975979000003121046,160031,E610P 10L TANK ,21,"P1,P2,P3",1 Mechanical,Tanks & Containers,3,1,"The EFT 10L Agricultural Drone Tank is a compact and efficient solution designed specifically for use with E410P and E610P drone models. This tank is engineered to enhance your agricultural spraying capabilities, allowing for precise and effective application of fertilizers, pesticides, and herbicides.
",,48cm x 35cm x 25cm,1878,,https://drive.google.com/drive/folders/1InmNJ0fAdAbRHmN230gDFWIEyIwzkeFV,,,"The allocated dimensions of bins or boxes are measured across all quantities, not just for a single quantity. Product weights hold the exact material quantity.",EFT Parts,
130,BC.EN.SS000537,660011,Gimbal and Camera Module (SB100E),5,Dock Room,6 Sensors & Radars,Optical Flow & Vision Sensors,1,1,,,,,,,,,,Mavic,
131,BC.EN.SS000526,520071,SB100E Aircraft Core Board Module,5,Dock Room,5 Flight Controllers & Electronics,Electronic Boards,7,1,,,,,,,,,,Mavic,
132,BC.MA.SS000448,660021,Downward Vision Sensor Module,5,Dock Room,6 Sensors & Radars,Optical Flow & Vision Sensors,2,1,,,,,,,,,,Mavic,
133,BC.EN.SS000530,660031,Lateral & Upward Vision System Module,5,Dock Room,6 Sensors & Radars,Optical Flow & Vision Sensors,3,1,,,,,,,,,,Mavic,
134,BC.EN.SS000529,530021,GPS,5,Dock Room,5 Flight Controllers & Electronics,Communication & Wi-Fi modules,2,1,,,,,,,,,,Mavic,
135,CP.RC.SS000000.01,810011,RC Pro Enterprise,5,Dock Room,8 Remote Controls,RC Transmitters,1,1,,,,,,,,,,Mavic,
136,,580141,XT30U Male Bullet Connector â€“ XT30U-M.G.Y Amass Connector,0,NA,5 Flight Controllers & Electronics,Connectors & Wiring Harnesses,14,1,,,,,,,,,,,
137,,580151,XT30U Female Bullet Connector â€“ XT30U-F.G.Y Amass Connector,0,,5 Flight Controllers & Electronics,Connectors & Wiring Harnesses,15,1,,,,,,,,,,,
138,,580161,MR60 Male Connector â€“ MR60-M.G.Y Amass Connector,0,,5 Flight Controllers & Electronics,Connectors & Wiring Harnesses,16,1,,,,,,,,,,,
139,,580171,MR60 Female Connector â€“ MR60-F.G.Y Amass Connector,0,,5 Flight Controllers & Electronics,Connectors & Wiring Harnesses,17,1,,,,,,,,,,,
140,,580181,MR30 Male Connector â€“ MR30-M.G.Y Amass Connector,0,,5 Flight Controllers & Electronics,Connectors & Wiring Harnesses,18,1,,,,,,,,,,,
141,,580191,MR30 Female Connector â€“ MR30-F.G.Y Amass Connector,0,,5 Flight Controllers & Electronics,Connectors & Wiring Harnesses,19,1,,,,,,,,,,,
142,,580201,XT60U Male Connector â€“ XT60U-M.G.Y Amass Connector,0,,5 Flight Controllers & Electronics,Connectors & Wiring Harnesses,20,1,,,,,,,,,,,
143,,580211,XT60 Male Connector â€“ XT60-M.G.Y Amass Connector,0,,5 Flight Controllers & Electronics,Connectors & Wiring Harnesses,21,1,,,,,,,,,,,
144,,580221,XT60 Female Connector â€“ XT60-F.G.Y Amass Connector,0,,5 Flight Controllers & Electronics,Connectors & Wiring Harnesses,22,1,,,,,,,,,,,
145,,580231,XT60U Female Connector â€“ XT60U-F.G.Y Amass Connector,0,,5 Flight Controllers & Electronics,Connectors & Wiring Harnesses,23,1,,,,,,,,,,,
146,,580241,XT60H Male Connector with Housing â€“ XT60H-M.G.Y Amass Connector,0,,5 Flight Controllers & Electronics,Connectors & Wiring Harnesses,24,1,,,,,,,,,,,
147,,580251,XT60H Female Connector with Housing â€“ XT60H-F.G.Y Amass Connector,0,,5 Flight Controllers & Electronics,Connectors & Wiring Harnesses,25,1,,,,,,,,,,,
